agency,website,hq,phone,email,status
24/7 Sports Management,https://247sportsmanagement.com/,"Coral Gables, FL (5299 Hammock Drive, Coral Gables, FL 33156)",(866) 247-4667,jeffrey@247sportsmanagement.com,found
360 Agency,,,,,not_found
A3 Athletics,https://www.replegacy.com/,"Nashville, TN (1720 West End Ave, Suite 300, Nashville, TN 37203; additional offices in Charlotte and Columbus)",,marketing@replegacy.com,found
AAI Sports,https://www.aaisports.com,"Dallas, TX (16000 Dallas Parkway, Suite 300, Dallas, TX 75248)",972-739-8490,gbass@aaisports.com,found
ADS Sports Management,https://www.adssportsmgmt.com/,"Minneapolis, MN (BBB lists nearby Plymouth, MN)",,info@adssportsmgmt.com,found
Always On Sports Agency,https://alwaysonsports.com/,,,,partial
AMR Agency,https://www.amr-agency.com/,"New York, NY — 37 West 20th Street, Suite 706, New York, NY 10011",,info@amr-agency.com,found
Assist Sports Management,,,,,not_found
Bell Management,https://bellmgmt.com/,"12410 Milestone Center Drive, Suite 614, Germantown, MD 20878",,jbell@bellmgmt.com,found
Beo Basket,https://beobasket.net/,"Belgrade, Serbia",,info@beobasket.net,found
Comsport,https://www.comsport.biz/,"Paris, France (4 Rue de la Terrasse, 75017 Paris); secondary US office 5717 Legacy Drive, Suite 250, Plano, TX 75024",+33 1 81 69 67 66,contact@comsport.biz,found
Creative Artists Agency,https://www.caa.com,"2000 Avenue of the Stars, Los Angeles (Century City), CA 90067",(424) 288-2000,,found
Daniel Poneman,,,,,independent
Derek Lafayette,,,,,independent
Duncan Lloyd,,,,,independent
Dynasty Sports,,,,,partial
Edge Sports,https://edgesportsintl.com/,"707 Skokie Blvd, Suite 600, Northbrook, IL 60062",,,found
Equity Basketball,https://equity-sports.com/,"Newport Beach, CA (Equity Sports, 2901 West Coast Highway, Newport Beach, CA 92663)",949-270-2777,,found
Excel Sports Management,https://excelsm.com,"1700 Broadway, New York, NY 10019",(646) 454-5900,,found
EZ Sports Group,https://www.ezsportsgroup.com/,"Atlanta, GA",,Info@EZSportsGroup.com,found
Famo Sports,https://www.famosports.com/,"Columbia, SC",(803) 308-8200,,found
G.A.P.P. Sports Group,https://gappsportsgroup.com/,"North Lauderdale, FL 33068 (satellite office in Atlanta, GA)",954-393-8718,,found
Gersh Sports,https://gersh.com/sports/,"Beverly Hills, CA (HQ) — 9465 Wilshire Boulevard, 6th Floor, Beverly Hills, CA 90212. NY office: 41 Madison Avenue, 29th Floor, New York, NY 10010",310 274 6611 (Beverly Hills HQ); 212 997 1818 (New York),,found
