year,spotrac_id,player,from_team,to_team,kind,pos,years,value,aav,status
2012,2757,Deron Williams,BKN,BKN,re_sign,PG,5,98772325,19754465,Official
2012,6113,Roy Hibbert,IND,IND,re_sign,C,4,58365563,14591391,Official
2012,6116,Eric Gordon,NOH,NOH,re_sign,SG,4,58365563,14591391,Official
2012,6149,Nicolas Batum,POR,POR,re_sign,SF,4,46121500,11530375,Official
2012,6159,JaVale McGee,DEN,DEN,re_sign,C,4,44000000,11000000,Official
2012,2237,Gerald Wallace,BKN,BKN,re_sign,SF,4,40000030,10000008,Official
2012,6154,George Hill,IND,IND,re_sign,PG,5,40000000,8000000,Official
2012,6341,Ersan Ilyasova,MIL,MIL,re_sign,PF,5,40000000,8000000,Agreed
2012,2214,Kevin Garnett,BOS,BOS,re_sign,PF,3,36000000,12000000,Official
2012,2720,Jeff Green,BOS,BOS,re_sign,PF,4,35200000,8800000,Official
2012,6133,Ryan Anderson,ORL,ORL,re_sign,PF,4,34000000,8500000,Official
2012,2703,Tim Duncan,SAS,SAS,re_sign,PF,3,30361446,10120482,Official
2012,6153,Jason Thompson,SAC,SAC,re_sign,PF,5,30187500,6037500,Official
2012,6146,Goran Dragic,HOU,PHX,move,PG,4,30000000,7500000,Official
2012,2665,Steve Nash,PHX,LAL,move,PG,3,27901500,9300500,Official
2012,2642,Jameer Nelson,ORL,ORL,re_sign,PG,3,25200000,8400000,Official
2012,7115,Jeremy Lin,NYK,HOU,move,PG,3,25123938,8374646,Official
2012,7110,Omer Asik,CHI,HOU,move,C,3,25123938,8374646,Official
2012,6144,Courtney Lee,HOU,HOU,re_sign,SG,4,21350000,5337500,Official
2012,2618,Jamal Crawford,POR,LAC,move,SG,4,21350000,5337500,Official
2012,2270,Brandon Bass,BOS,BOS,re_sign,PF,3,19350000,6450000,Official
2012,6921,Landry Fields,NYK,TOR,move,SF,3,18750000,6250000,Official
2012,6127,Michael Beasley,MIN,PHX,move,SF,3,18000000,6000000,Agreed
2012,2708,Ian Mahinmi,DAL,DAL,re_sign,C,4,16000000,4000000,Official
2012,2657,Louis Williams,PHI,ATL,move,SG,3,15675000,5225000,Official
2012,2281,Jason Terry,DAL,BOS,move,SG,3,15675000,5225000,Official
2012,2229,Raymond Felton,POR,POR,re_sign,PG,4,14860000,3715000,Official
2012,2653,Andre Miller,DEN,DEN,re_sign,PG,3,14625000,4875000,Official
2012,6252,Marcus Camby,HOU,HOU,re_sign,C,3,13151319,4383773,Official
2012,2690,Spencer Hawes,PHI,PHI,re_sign,PF,2,13100000,6550000,Official
2012,6277,Danny Green,SAS,SAS,re_sign,SG,3,11287500,3762500,Official
2012,2683,Brandon Roy,POR,MIN,move,SG,2,10400000,5200000,Agreed
2012,2566,Ramon Sessions,LAL,CHA,move,PG,2,10000000,5000000,Official
2012,6121,Darrell Arthur,MEM,MEM,re_sign,PF,2,9675000,4837500,Official
2012,6089,Boris Diaw,SAS,SAS,re_sign,C,2,9202500,4601250,Agreed
2012,2276,Jason Kidd,DAL,NYK,move,PG,3,9090000,3030000,Agreed
2012,6145,Marreese Speights,MEM,MEM,re_sign,PF,2,8715000,4357500,Official
2012,6124,O.J. Mayo,MEM,DAL,move,SG,2,8220900,4110450,Official
2012,2475,Chris Kaman,NOH,DAL,move,C,1,8000000,8000000,Official
2012,2245,Kirk Hinrich,ATL,CHI,move,SG,2,8000000,4000000,Agreed
2012,2396,Carl Landry,NOH,GSW,move,PF,2,8000000,4000000,Official
2012,6114,Brandon Rush,GSW,GSW,re_sign,SG,2,8000000,4000000,Official
2012,6310,Jordan Hill,LAL,LAL,re_sign,C,2,7127200,3563600,Official
2012,2238,Shannon Brown,PHX,PHX,re_sign,PG,2,7000000,3500000,Official
2012,2768,DeShawn Stevenson,ATL,ATL,re_sign,SF,3,6721350,2240450,Official
2012,2209,Ray Allen,BOS,MIA,move,SG,2,6319050,3159525,Official
2012,6150,Jerryd Bayless,TOR,MEM,move,PG,2,6135000,3067500,Official
2012,8102,LaVoy Allen,PHI,PHI,re_sign,PF,2,6060000,3030000,Official
2012,6496,Carlos Delfino,MIL,HOU,move,SG,2,6000000,3000000,Official
2012,2529,Kwame Brown,MIL,PHI,move,C,2,5764945,2882473,Official
