# HoopsValue -- 2026-27 dead money, verified team by team.
#
# Salary a team still owes players who are not on its roster: buyouts, waivers,
# stretched contracts, and partial guarantees left behind in trades. It counts
# against the cap, the tax line and both aprons exactly like a player's salary,
# so pages/Rosters.py adds it to committed salary.
#
# Source: Spotrac 2026-27 team cap tables (the "Dead Money Cap" section), read
# 2026-07-29 (re-verified 2026-08-18 Highsmith; 08-23 Klay; 08-26 DeRozan stretch). Every team
# below reconciles to the Dead Cap column on Spotrac's
# league cap tracker; the 20 teams not listed here carry none.
#
# status is only filled in where the source tags the move; a blank means the
# charge is on the books but the source does not label how it got there.
#
# amount_M is millions.  Columns: asof,team,player,amount_M,status,notes
asof,team,player,amount_M,status,notes
2026-07-29,CHI,Kam Jones,1.075,waived,2025 second-rounder waived by Chicago; now on a Milwaukee two-way
2026-07-29,CLE,Ricky Rubio,0.425,,Trailing charge from the retired guard's Cleveland contract
2026-07-29,DAL,JaVale McGee,2.209,,
2026-07-29,DAL,Olivier-Maxence Prosper,1.002,waived,Waived by Dallas and signed by Memphis; Dallas keeps the charge
2026-07-29,DEN,Jonas Valanciunas,2.000,waived,
2026-07-29,MEM,Kentavious Caldwell-Pope,17.745,waived,"Opted into $21.6M, bought out 7/25/26 giving back $3.88M, signed with PHI"
2026-07-29,MEM,Cole Anthony,3.700,waived,
2026-07-29,MEM,Mamadi Diakite,0.464,,
2026-07-29,MIL,Damian Lillard,22.516,waived,Stretched over five years after the 2025 waive
2026-07-29,MIL,Cameron Thomas,0.845,,
2026-07-29,MIL,Vasilije Micic,0.667,waived,
2026-07-29,ORL,Jonathan Isaac,8.000,waived,
2026-07-29,PHX,Bradley Beal,19.383,,Stretched over five years after the 2025 waive
2026-07-29,PHX,Nassir Little,3.107,,
2026-07-29,PHX,E.J. Liddell,0.707,,
2026-07-29,POR,Didi Louzada,0.268,,
2026-08-26,SAC,DeMar DeRozan,3.333,waived,"STRETCHED 8/25/26 before the deadline: the $10M guaranteed remainder of his $25.74M salary now charges $3.333M a year across 2026-27 through 2028-29, which drops SAC under the tax. He signed with DEN 8/21"
2026-08-18,PHX,Haywood Highsmith,1.000,waived,"$1M partial guarantee from the 8/12/26 waive; he re-signed 8/17 on a new vet min (tax-cutting restructure)"
2026-08-23,DAL,Klay Thompson,7.700,waived,"buyout 8/21/26 of his $17.5M final year - gave back ~$9.8M; waived, clears 8/23; ~$7.7M dead (no stretch reported); expected to sign MIA"
