# HoopsValue MASTER ROSTER - every player under contract 2026-27, all 30 teams.
# THE roster source of truth. Compiled by 6 division agents from Spotrac
# (canonical) cross-checked vs ESPN + RealGM, reconciled 2026-07-27.
# Re-verified 2026-08-18: August trades/signings/waives applied from the
# adversarial web-search round (see receipts/2026-08-18-offseason-reverification.md).
# Maintain by hand as trades/waivers/signings happen (same doctrine as
# real_signings), then re-run scripts/build_master_roster_xlsx.py.
# kind: standard | two_way | pending (agreed, not official, not vs limits)
asof,team,player,salary_M,kind,pos,notes
2026-08-18,ATL,Jalen Johnson,30,standard,PF/SF,5yr/$150M rookie extension (2025-29)
,ATL,Dyson Daniels,25,standard,SF/SG,4yr/$100M rookie extension begins 2026-27
,ATL,C.J. McCollum,21,standard,PG/SG,"acquired by trade 1/9/26; 1yr $21M vet extension, expiring"
,ATL,Luguentz Dort,17.72,standard,PF/SF,traded to ATL 7/19/26; expiring
,ATL,Onyeka Okongwu,16.1,standard,C,rookie ext; UFA 2028
,ATL,Nickeil Alexander-Walker,14.4,standard,SG/PG,2025 sign-and-trade; 2028-29 player option
,ATL,Jock Landale,14.1,standard,C,signed 1yr/$14.1M as FA 7/10/26
,ATL,Corey Kispert,13.98,standard,SF/SG,acquired by trade 1/9/26 (same deal as McCollum); TO 2028-29
,ATL,Buddy Hield,9.66,standard,SG/SF,acquired by trade 2/5/26; 2027-28 PO
,ATL,Aaron Wiggins,9.03,standard,SF/SG,acquired by trade 7/6/26
,ATL,Kingston Flemings,7.35,standard,PG,"2026 1st round, No. 8 overall"
,ATL,Devin Carter,5.16,standard,PG/SG,acquired by trade 6/30/26; 2027-28 team option
,ATL,Zuby Ejiofor,3.45,standard,C,"2026 1st round, No. 23 overall"
,ATL,Asa Newell,3.4,standard,PF/C,2025 No. 23 pick; 2027-28 team option
,ATL,Mouhamed Gueye,2.41,standard,PF/C,non-guaranteed until 1/10/27
,ATL,Ryan Nembhard,2.15,standard,PG,acquired by trade 7/19/26 (same deal as Dort)
,ATL,Henri Veesaar,1.36,standard,C,"2026 2nd round No.52 (drafted by LAC, rights traded to ATL); 4yr/$9,264,648 signed 7/1/2026 via 2nd-round exception; 2026-27 base $1,357,763 (prior $0 cap-hit claim was wrong); first 2 yrs fully gtd, 2029-30 team option"
,ATL,Jalen Wilson,0,two_way,SF/PF,two-way signed 2026; 50% gtd first day of regular season
,ATL,Keshon Gilbert,0,two_way,SG,"two-way, 2nd year; two-way QO due 6/29/27"
,ATL,RayJ Dennis,0,two_way,PG,"two-way, 2nd year; two-way QO due 6/29/27"
,BKN,Michael Porter Jr.,40.81,standard,SF/PF,Acquired from DEN 7/8/2025
,BKN,Julius Randle,33.33,standard,PF/C,Acquired via trade from MIN 7/10/2026 on new 3-yr-shape deal; 2027-28 player option $35.8M
,BKN,Terance Mann,15.5,standard,SG/SF,Acquired from ATL 7/7/2025; extension-eligible 10/1/2026
,BKN,Day'Ron Sharpe,10,standard,C,Re-signed 7/6/2026; 2027-28 team option $10M
,BKN,Moritz Wagner,9.27,standard,C,"Agreed 2yr/$19M (2nd-yr mutual option) on 7/1/2026 from ORL; still in Spotrac pending section as of 7/27, not counted vs roster; PROMOTED to official per Barrett 2026-07-27"
,BKN,Keon Ellis,9,standard,SG/PG,Signed multi-year FA 7/6/2026 (from SAC); 2027-28 player option $9M
,BKN,Mikel Brown Jr.,8.79,standard,PG,2026 1st-round pick No.6
,BKN,Egor Demin,7.23,standard,PG/SG,2025 No.8 pick; 2027-28 club option decision due 10/31/2026
,BKN,Noah Clowney,5.41,standard,PF/C,RFA summer 2027 (QO $8.3M)
,BKN,Josh Minott,4.5,standard,SF/PF,"Traded from BOS 2/5/2026, then re-signed 7/6/2026; 2027-28 team option"
,BKN,Nolan Traore,4,standard,PG/SG,2025 No.19 pick; 2027-28 club option decision due 10/31/2026
,BKN,Drake Powell,3.54,standard,PG/SG,2025 No.22 pick; 2027-28 club option decision due 10/31/2026
,BKN,Ben Saraf,3.03,standard,SG/SF,2025 No.26 pick; 2027-28 club option decision due 10/31/2026
,BKN,Joshua Jefferson,2.97,standard,PF,2026 1st-round pick No.28
,BKN,Danny Wolf,2.94,standard,PF/C,2025 No.27 pick; 2027-28 club option decision due 10/31/2026
,BKN,Tyler Bilodeau,0,two_way,PF,Two-way; 2026 2nd-round pick No.43
,BKN,Chaney Johnson,0,two_way,SF/PF,Two-way; undrafted 2025
,BOS,Jayson Tatum,58.46,standard,PF/SF,Designated-vet extension; 2029-30 player option $71.4M
,BOS,Paul George,54.13,standard,SF/PF,Acquired from PHI 7/6/2026 in Jaylen Brown trade (BOS also got 2 firsts incl PHI 2031 + 2 seconds); 2027-28 PO
,BOS,Derrick White,30.35,standard,SG/PG,Cap hit includes $1.89M likely incentives; 2028-29 player option
,BOS,Mitchell Robinson,15.04,standard,C,Signed 7/6/2026 using full non-taxpayer MLE (hard-capped at 1st apron); 2028-29 player option
,BOS,Sam Hauser,10.85,standard,PF/SF,
,BOS,Payton Pritchard,7.77,standard,PG,Extension-eligible 10/1/2026
,BOS,Dillon Mitchell,0.68,two_way,SF,"two-way signed 8/5/26"
,BOS,Ron Harper Jr.,3.15,standard,SF/PF,Re-signed multi-year 7/6/2026
