# HoopsValue (private) - manual agent/agency overrides.
# The base file data/player_agents.csv is generated by scripts/build_agent_db.py
# (HoopsHype). For any player listed here, these rows REPLACE that player's
# scraped agents entirely - so you can fix a wrong agent, drop a bad one, add the
# real one(s), or blank a player (a single row with an empty agent clears them).
#
# Multi-agent: add one row per agent to give a player several representatives.
# Columns:  name,agent,agency,source,as_of
#   name   = player display name in the app's spelling (accents optional).
#   agent  = full agent name.   agency = agency name (keep spelling consistent).
#   source = where the correction came from.   as_of = optional yyyy-mm.
# Lines starting with # are ignored.
name,agent,agency,source,as_of
# --- nickname / transliteration bridges (HoopsHype lists a different name) ---
Nic Claxton,Austin Brown,Creative Artists Agency,override:alias,2026-06
Bub Carrington,Rich Paul,Klutch Sports Management,override:alias,2026-06
Dennis Schröder,Mark Bartelstein,Priority Sports & Entertainment,override:alias,2026-06
# --- corrections + fills from RealGM / SalarySwish (Barrett review, 2026-06) ---
# Curry: drop the wrong Saratsis listing, keep his real agent Jeff Austin.
Stephen Curry,Jeff Austin,Octagon Athlete Representation,override:manual,2026-06
Kawhi Leonard,Mitch Frankel,Impact Sports Management,override:manual,2026-06
Josh Giddey,Daniel Moldovan,,override:manual,2026-06
Dyson Daniels,Daniel Moldovan,,override:manual,2026-06
Dyson Daniels,Alex Saratsis,Octagon Athlete Representation,override:manual,2026-06
Herbert Jones,Kieran Piller,Priority Sports & Entertainment,override:manual,2026-06
Herbert Jones,Mark Bartelstein,Priority Sports & Entertainment,override:manual,2026-06
Ronald Holland II,Justin Haynes,WME Sports,override:manual,2026-06
Ronald Holland II,Bill Duffy,WME Sports,override:manual,2026-06
Vít Krejčí,Alex Saratsis,Octagon Athlete Representation,override:manual,2026-06
Vít Krejčí,Phillip Parun,,override:manual,2026-06
Craig Porter Jr.,Ryan Straining,Always On Sports Agency,override:manual,2026-06
Svi Mykhailiuk,Michael Lelchitski,SIG Sports,override:manual,2026-06
Jay Huff,Michael B. Siegel,Impact Sports Management,override:manual,2026-06
Antonio Reeves,Sam Rose,Creative Artists Agency,override:manual,2026-06
Nigel Hayes-Davis,Nikolaos Spanos,,override:manual,2026-06
Hunter Tyson,Eric Fleisher,Assist Sports Management,override:manual,2026-06
Yang Hansen,Rich Paul,Klutch Sports Management,override:manual,2026-06
Cody Martin,Eric Fleisher,Assist Sports Management,override:manual,2026-06
Myron Gardner,Jake Cohen,,override:manual,2026-06
# --- previously-unrepresented players, resolved by cross-source web research ---
# (agency spellings match the scraped data so CAA/WME/Excel don't split in two)
# high confidence:
Shai Gilgeous-Alexander,Self-represented,,override:research,2026-06
Joel Embiid,Self-represented,,override:research,2026-06
Santi Aldama,Austin Brown,Creative Artists Agency,override:research,2026-06
Santi Aldama,Steven Heumann,Creative Artists Agency,override:research,2026-06
Santi Aldama,Max Saidman,Creative Artists Agency,override:research,2026-06
Cam Whitmore,Joe Branch,WME Sports,override:research,2026-06
Cam Whitmore,Bill Duffy,WME Sports,override:research,2026-06
Cam Whitmore,David Mondress,WME Sports,override:research,2026-06
Maxime Raynaud,Bouna Ndiaye,Comsport,override:research,2026-06
# Yanic: re-verified high confidence 2026-06. Excel is his NBA contract agent;
# Sevag Keucheyan is his European/FIBA recruiter and is intentionally NOT stored.
Yanic Konan Niederhäuser,Jared Mucha,Excel Sports Management,override:research,2026-06
Yanic Konan Niederhäuser,Javon Phillips,Excel Sports Management,override:research,2026-06
Yanic Konan Niederhäuser,Mike Lindeman,Excel Sports Management,override:research,2026-06
# medium confidence (no major agency; agents per RealGM/Fanspo, contract DBs blank):
# GG Jackson: re-verified 2026-06, added John Williams as a third Famo Sports rep.
GG Jackson,LaKeysha Alston,,override:research-med,2026-06
GG Jackson,Donnell Bruce,Famo Sports,override:research-med,2026-06
GG Jackson,John Williams,Famo Sports,override:research-med,2026-06
# --- accuracy cross-check fixes (top-110 verification + systematic agency moves, 2026-06) ---
# Drew Gross moved Roc Nation -> WME (2024) and brought his clients:
Andre Jackson Jr,Drew Gross,WME Sports,override:accuracy,2026-06
Buddy Boeheim,Drew Gross,WME Sports,override:accuracy,2026-06
