# HoopsValue — manual position overrides.  NBA 2K26 is the base source
# (data/player_positions_2k.csv); anything you put here WINS over it.
#
# To correct a player: add a row below the header  ->  name,positions
#   positions = slash-separated from PG / SG / SF / PF / C, primary first.
#   e.g.   Some Combo Forward,SF/PF
#          Some Two-Way Guard,PG
#
# Notes:
#   - Name should match the player (accents optional; "luka doncic" is fine).
#   - A single position means EXACTLY that (no auto flex) — use it to pin a
#     player to one spot (e.g. a pure PG who 2K also tags at SG).
#   - Order MATTERS: list the PRIMARY position FIRST (e.g. SG/SF = primary SG).
#     Eligibility still uses the full set, but a player only "competes" with
#     another for minutes when at least one of them plays the shared spot as
#     their PRIMARY (so a SG/SF guard no longer blocks a true SF/PF forward).
#   - Lines starting with # are ignored. Leave the file header-only to use 2K as-is.
name,positions
Jake LaRavia,SF/SG
Gary Payton II,SG/SF
Tari Eason,SF/SG
Derrick Jones Jr.,SF/PF
Aaron Wiggins,SF/SG
Ochai Agbaji,SG/SF
Terrence Shannon Jr.,SG/SF
Jaylon Tyson,SG/SF
John Konchar,SG/SF
Nique Clifford,SG/SF
Jalen Williams,SG/SF
Jaylin Williams,C/PF
Quinten Post,PF/C
Joan Beringer,PF/C
Alex Caruso,SG/SF
Kobe Sanders,SG/SF
Zion Williamson,PF/SF
Scottie Barnes,PF/SF
Deni Avdija,SF/SG
Hugo Gonzalez,SF/SG
Cooper Flagg,SF/PF
Austin Reaves,SG/PG
Jaylen Brown,SF/SG
Marcus Smart,SG/PG
Jaxson Hayes,C
Zaccharie Risacher,SF/PF
CJ McCollum,SG/PG
Corey Kispert,SF/SG
Ziaire Williams,SF/PF
Nic Claxton,C
Day'Ron Sharpe,C
Jayson Tatum,PF/SF
Luka Garza,C
Nikola Vučević,C/PF
Sion James,SG/PG
Miles Bridges,PF/SF
Moussa Diabaté,C
Grant Williams,PF/SF
Xavier Tillman,C/PF
Jalen Smith,C/PF
Donovan Mitchell,SG/PG
Keon Ellis,SG/PG
Max Strus,SF/SG
P.J. Washington,PF/SF
Cameron Johnson,SF/PF
Jalen Pickett,SG
Tobias Harris,PF/SF
Paul Reed,C
Isaiah Stewart,C/PF
Will Richard,SG/PG
Seth Curry,SG/PG
Gui Santos,PF/SF
De'Anthony Melton,PG/SG
Al Horford,C/PF
Kevin Durant,PF/SF
Alperen Sengun,C
Ben Sheppard,SG/PG
Darius Garland,PG
Bradley Beal,SG/PG
Kawhi Leonard,PF/SF
Nicolas Batum,PF/SF
Cam Christie,SG/SF
Luke Kennard,SG/PG
LeBron James,PF/SF
Drew Timme,PF/C
Maxi Kleber,C/PF
Bronny James,PG/SG
Kobe Bufkin,SF/SG
Santi Aldama,PF/SF
Taj Gibson,PF/SF
Bam Adebayo,C/PF
Kel'el Ware,C/PF
Taurean Prince,SF/SG
Cam Thomas,SG
Bobby Portis,PF/SF
Naz Reid,C/PF
Trey Murphy III,SF/SG
Derik Queen,C
Yves Missi,C
Karl-Anthony Towns,C/PF
Josh Hart,SF/SG
Jordan Clarkson,PG/SG
Jeremy Sochan,PF/SF
Mohamed Diawara,PF/SF
Ariel Hukporti,C
Cason Wallace,SG/SF
Isaiah Joe,SG/SF
Jett Howard,SF/PF
Wendell Carter Jr.,C
Moritz Wagner,C
Colin Castleton,C
VJ Edgecombe,SG/SF
Trendon Watford,PF/SF
Cameron Payne,PG/SG
Kyle Lowry,PG
Adem Bona,C
Eric Gordon,SF/SG
Jalen Green,SG/PG
Oso Ighodaro,C
Shaedon Sharpe,SG/PG
Toumani Camara,PF/SF
Jerami Grant,PF/SF
Robert Williams III,C
Matisse Thybulle,SF/SG
Yang Hansen,C
DeMar DeRozan,SF/SG
Victor Wembanyama,C/PF
De'Aaron Fox,PG/SG
Harrison Barnes,PF/SF
Carter Bryant,SF/SG
Jordan McLaughlin,PG
Bismack Biyombo,C
RJ Barrett,SG/SF
Sandro Mamukelashvili,C/PF
Trayce Jackson-Davis,C/PF
Vince Williams Jr.,PG/SG
Kevin Love,C/PF
Alex Sarr,C/PF
Kyshawn George,SF/SG
D'Angelo Russell,PG/SG
Cam Whitmore,SF/SG
Paolo Banchero,PF/SF
OG Anunoby,PF/SF
