# HoopsValue — manual roster corrections.
#
# The guaranteed-roster list is built from the scraped contract feed, which can
# lag real transactions (a player waived, or a late signing the source hasn't
# caught). Each row here patches the FORWARD-LOOKING roster only; it never
# touches a player's historical stats, so a waived player still shows on the
# Rankings for the games he actually played.
#
#   action = waived          ->  drop <player> from <team>'s guaranteed roster
#                                 (waived / no longer under contract there)
#   action = decline_option  ->  team declines its team option on <player>; he
#                                 comes off the roster and reaches free agency
#
# team = 3-letter abbreviation (the team that HOLDS the contract/option).
# Lines starting with # are ignored.
team,player,action
LAL,Kobe Bufkin,waived
DET,Bobi Klintman,waived
CHA,Pat Connaughton,decline_option
LAC,Bogdan Bogdanovic,decline_option
NOP,Kevon Looney,decline_option
SAC,Killian Hayes,decline_option

ATL,Jonathan Kuminga,decline_option
PHI,Trendon Watford,decline_option
DEN,Jalen Pickett,decline_option
LAC,Bradley Beal,free_agent
SAC,DeMar DeRozan,free_agent
CHI,Jaden Ivey,free_agent
MIL,Thanasis Antetokounmpo,free_agent
DEN,Bruce Brown,free_agent
PHI,MarJon Beauchamp,free_agent
SAC,Patrick Baldwin Jr.,free_agent
DEN,David Roddy,free_agent
DET,Wendell Moore Jr.,free_agent
UTA,Kevin Love,free_agent
DAL,Dwight Powell,free_agent
SAC,Russell Westbrook,free_agent
GSW,Gary Payton II,free_agent
SAC,Drew Eubanks,free_agent
LAC,Bennedict Mathurin,free_agent
CHI,Mac McClung,free_agent
CHI,Yuki Kawamura,free_agent
MIA,Keshad Johnson,free_agent
MIA,Jahmir Young,free_agent
BOS,Max Shulga,free_agent
UTA,Hayden Gray,free_agent
MIA,Trevor Keels,free_agent
LAC,Norchad Omier,free_agent
CLE,Olivier Sarr,free_agent
ATL,Christian Koloko,free_agent
UTA,Bez Mbeng,free_agent
NYK,Dillon Jones,free_agent
PHX,Isaiah Livers,free_agent
LAL,Lachlan Olbrich,free_agent
CHA,Antonio Reeves,free_agent
NYK,Trey Jemison,free_agent
LAC,TyTy Washington Jr.,free_agent
DEN,Curtis Jones,free_agent
LAL,Drew Timme,free_agent
