Player,Position,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6
Nikola Jokić,C,Joel Embiid,,,,,
Luka Dončić,PG,,,,,,
Shai Gilgeous-Alexander,PG,Luka Dončić,Cade Cunningham,,,,
Victor Wembanyama,C,Domantas Sabonis,,,,,
Cade Cunningham,PG,Luka Dončić,Tyrese Haliburton,Devin Booker,Ja Morant,,
Tyrese Maxey,PG,Luka Dončić,Cade Cunningham,Devin Booker,Tyrese Haliburton,Ja Morant,Darius Garland
Jalen Johnson,SF,Franz Wagner,,,,,
Donovan Mitchell,SG,Anthony Edwards,,,,,
Jaylen Brown,SF,Franz Wagner,,,,,
Kawhi Leonard,PF,Anthony Davis,Jayson Tatum,Evan Mobley,,,
Kevin Durant,PF,Anthony Davis,Jayson Tatum,Evan Mobley,,,
Jamal Murray,PG,Devin Booker,Tyrese Haliburton,Jalen Brunson,Ja Morant,Luka Dončić,Darius Garland
James Harden,PG,Jalen Brunson,Fred VanVleet,Devin Booker,Jamal Murray,Dejounte Murray,Tyrese Haliburton
Scottie Barnes,PF,Evan Mobley,Anthony Davis,,,,
Jalen Brunson,PG,Fred VanVleet,Dejounte Murray,Jamal Murray,Tyrese Maxey,Devin Booker,Darius Garland
Deni Avdija,SF,Franz Wagner,Jaylen Brown,,,,
Devin Booker,PG,Jamal Murray,Jalen Brunson,Fred VanVleet,Darius Garland,Dejounte Murray,Tyrese Haliburton
Anthony Edwards,SG,Donovan Mitchell,,,,,
LeBron James,PF,Anthony Davis,Evan Mobley,Jaren Jackson Jr.,Scottie Barnes,,
Amen Thompson,PG,Darius Garland,Ja Morant,Tyrese Maxey,Tyrese Haliburton,Tyler Herro,Jamal Murray
Bam Adebayo,C,Karl-Anthony Towns,Ivica Zubac,Alperen Sengun,,,
Alperen Sengun,C,Ivica Zubac,Karl-Anthony Towns,,,,
Paolo Banchero,SF,Franz Wagner,Jaylen Brown,Lauri Markkanen,,,
Austin Reaves,SG,Donovan Mitchell,Anthony Edwards,,,,
Chet Holmgren,PF,Scottie Barnes,Evan Mobley,Jaren Jackson Jr.,Zion Williamson,Anthony Davis,
Karl-Anthony Towns,C,Ivica Zubac,Myles Turner,Brook Lopez,Alperen Sengun,,
Giannis Antetokounmpo,PF,Anthony Davis,Jaren Jackson Jr.,Scottie Barnes,Evan Mobley,Zion Williamson,
Derrick White,PG,Fred VanVleet,Jamal Murray,Dejounte Murray,Jalen Brunson,D'Angelo Russell,Tyler Herro
Jalen Duren,C,Alperen Sengun,Karl-Anthony Towns,Myles Turner,Brook Lopez,Ivica Zubac,
Desmond Bane,SG,Donovan Mitchell,Jalen Green,,,,
Evan Mobley,PF,Jaren Jackson Jr.,Scottie Barnes,Zion Williamson,Miles Bridges,Tobias Harris,
Cooper Flagg,SF,Franz Wagner,Jaylen Brown,Lauri Markkanen,Jalen Johnson,Kyle Kuzma,
De'Aaron Fox,PG,Jamal Murray,D'Angelo Russell,Tyler Herro,Derrick White,Dejounte Murray,Fred VanVleet
Stephon Castle,PG,Tyler Herro,D'Angelo Russell,Jamal Murray,Dejounte Murray,Derrick White,Fred VanVleet
Trey Murphy III,SF,Jalen Johnson,Lauri Markkanen,Jaylen Brown,Kyle Kuzma,,
Lauri Markkanen,SF,Jaylen Brown,Kyle Kuzma,Jalen Johnson,,,
Pascal Siakam,PF,Tobias Harris,Jaren Jackson Jr.,Miles Bridges,Zion Williamson,Scottie Barnes,
Nickeil Alexander-Walker,PG,D'Angelo Russell,Derrick White,Jamal Murray,Dejounte Murray,Tyler Herro,Jordan Poole
Julius Randle,PF,Tobias Harris,Jaren Jackson Jr.,Miles Bridges,Zion Williamson,Scottie Barnes,
Stephen Curry,PG,Derrick White,Jamal Murray,D'Angelo Russell,Dejounte Murray,Tyler Herro,Jordan Poole
LaMelo Ball,PG,Tyler Herro,D'Angelo Russell,Jamal Murray,Jordan Poole,Derrick White,Dejounte Murray
Keyonte George,PG,Tyler Herro,LaMelo Ball,D'Angelo Russell,Jordan Poole,Derrick White,Jamal Murray
Joel Embiid,C,Brook Lopez,Karl-Anthony Towns,Myles Turner,Jakob Poeltl,Nic Claxton,Alperen Sengun
Josh Giddey,PG,Tyler Herro,D'Angelo Russell,LaMelo Ball,Jamal Murray,Jordan Poole,Immanuel Quickley
Dyson Daniels,PG,Tyler Herro,D'Angelo Russell,LaMelo Ball,Jamal Murray,Jordan Poole,Immanuel Quickley
Brandon Ingram,SF,Lauri Markkanen,Jaylen Brown,Kyle Kuzma,Jalen Johnson,,
Kon Knueppel,SG,Jalen Green,Devin Vassell,Desmond Bane,Grayson Allen,,
Immanuel Quickley,PG,Jordan Poole,Derrick White,D'Angelo Russell,Tyler Herro,Jamal Murray,LaMelo Ball
OG Anunoby,SF,Kyle Kuzma,Lauri Markkanen,Jalen Johnson,Jaylen Brown,,
Onyeka Okongwu,C,Myles Turner,Jakob Poeltl,Karl-Anthony Towns,Nic Claxton,Brook Lopez,Mason Plumlee
Ryan Rollins,PG,Jordan Poole,Immanuel Quickley,Tyler Herro,LaMelo Ball,Derrick White,D'Angelo Russell
Jimmy Butler III,SF,Kyle Kuzma,Lauri Markkanen,Jaylen Brown,Jalen Johnson,,
Rudy Gobert,C,Mason Plumlee,Brook Lopez,Myles Turner,Jakob Poeltl,Karl-Anthony Towns,Nic Claxton
Payton Pritchard,PG,Derrick White,Immanuel Quickley,Jordan Poole,D'Angelo Russell,Tyler Herro,LaMelo Ball
Kevin Porter Jr.,PG,Immanuel Quickley,Jordan Poole,Derrick White,D'Angelo Russell,LaMelo Ball,Tyler Herro
Michael Porter Jr.,SF,Lauri Markkanen,Kyle Kuzma,Jalen Johnson,,,
Donovan Clingan,C,Jakob Poeltl,Myles Turner,Karl-Anthony Towns,Nic Claxton,Brook Lopez,Mason Plumlee
Zion Williamson,PF,Miles Bridges,Jaren Jackson Jr.,Tobias Harris,Jerami Grant,,
Brandon Miller,SG,Devin Vassell,Jalen Green,Grayson Allen,Desmond Bane,Bradley Beal,Klay Thompson
Mikal Bridges,SG,Grayson Allen,Devin Vassell,Jalen Green,Bradley Beal,Desmond Bane,Klay Thompson
Andrew Nembhard,PG,Immanuel Quickley,Jordan Poole,Jordan Clarkson,LaMelo Ball,Malik Monk,D'Angelo Russell
Jrue Holiday,PG,Mike Conley,Jordan Clarkson,D'Angelo Russell,Immanuel Quickley,Jordan Poole,Malik Monk
Norman Powell,SG,Bradley Beal,Klay Thompson,Grayson Allen,Desmond Bane,Devin Vassell,Jalen Green
VJ Edgecombe,SG,Devin Vassell,Jalen Green,Grayson Allen,Desmond Bane,Bradley Beal,Klay Thompson
DeMar DeRozan,SF,Josh Hart,Kyle Kuzma,Jalen Johnson,,,
Miles Bridges,PF,Tobias Harris,Jerami Grant,Zion Williamson,,,
Jarrett Allen,C,Myles Turner,Jakob Poeltl,Mason Plumlee,Nic Claxton,Isaiah Hartenstein,Jonas Valančiūnas
Collin Gillespie,PG,Immanuel Quickley,Jordan Poole,Jordan Clarkson,Malik Monk,LaMelo Ball,D'Angelo Russell
Josh Hart,SF,Kyle Kuzma,Jalen Johnson,,,,
RJ Barrett,SG,Devin Vassell,Jalen Green,Grayson Allen,Bradley Beal,Desmond Bane,Klay Thompson
Neemias Queta,C,Isaiah Hartenstein,Nic Claxton,Myles Turner,Jakob Poeltl,Mason Plumlee,Jonas Valančiūnas
Jabari Smith Jr.,SF,Jalen Johnson,Andrew Wiggins,Kyle Kuzma,OG Anunoby,Josh Hart,
Tre Jones,PG,Immanuel Quickley,Jordan Poole,Jordan Clarkson,Malik Monk,LaMelo Ball,Jalen Suggs
Brandin Podziemski,PG,LaMelo Ball,Jordan Poole,Immanuel Quickley,Jalen Suggs,Malik Monk,Mike Conley
Andrew Wiggins,SF,Josh Hart,Kyle Kuzma,OG Anunoby,Jalen Johnson,,
Jaren Jackson Jr.,PF,Miles Bridges,Tobias Harris,Jerami Grant,,,
Jalen Suggs,PG,Malik Monk,LaMelo Ball,Immanuel Quickley,Jordan Poole,Mike Conley,Jordan Clarkson
CJ McCollum,SG,Klay Thompson,Bradley Beal,Grayson Allen,Desmond Bane,Devin Vassell,Jalen Green
Franz Wagner,SF,Andrew Wiggins,OG Anunoby,Kyle Kuzma,Josh Hart,,
Nikola Vučević,C,Brook Lopez,Mason Plumlee,Al Horford,Jonas Valančiūnas,Myles Turner,Isaiah Hartenstein
Darius Garland,PG,Malik Monk,Jalen Suggs,LaMelo Ball,Immanuel Quickley,Jordan Poole,Mike Conley
Jayson Tatum,PF,Miles Bridges,Tobias Harris,Jerami Grant,,,
Russell Westbrook,PG,Mike Conley,Chris Paul,Jordan Clarkson,Malik Monk,Immanuel Quickley,Jalen Suggs
Jaden McDaniels,SF,OG Anunoby,Josh Hart,Kyle Kuzma,Andrew Wiggins,Cameron Johnson,
Matas Buzelis,PF,Tobias Harris,Jerami Grant,,,,
Jaime Jaquez Jr.,SF,OG Anunoby,Kelly Oubre Jr.,Andrew Wiggins,Josh Hart,Cameron Johnson,
Ausar Thompson,SF,Andrew Wiggins,Cameron Johnson,OG Anunoby,Kelly Oubre Jr.,Josh Hart,
Toumani Camara,PF,Jerami Grant,Tobias Harris,,,,
Wendell Carter Jr.,C,Deandre Ayton,Myles Turner,Jonas Valančiūnas,Isaiah Hartenstein,Mason Plumlee,Al Horford
Anthony Davis,PF,Jerami Grant,,,,,
Ajay Mitchell,PG,Bruce Brown,Jordan Clarkson,Jordan Poole,Immanuel Quickley,Jalen Suggs,Malik Monk
Tyler Herro,PG,Malik Monk,Jalen Suggs,Donte DiVincenzo,LaMelo Ball,Dennis Schröder,Immanuel Quickley
Donte DiVincenzo,PG,Dennis Schröder,Malik Monk,Jordan Clarkson,Jalen Suggs,Ty Jerome,Immanuel Quickley
Deandre Ayton,C,Myles Turner,Jonas Valančiūnas,Isaiah Hartenstein,Al Horford,Mason Plumlee,Brook Lopez
Paul George,SF,Josh Hart,Andrew Wiggins,Kelly Oubre Jr.,Cameron Johnson,OG Anunoby,Dillon Brooks
Saddiq Bey,SF,Kelly Oubre Jr.,Andrew Wiggins,OG Anunoby,Josh Hart,Cameron Johnson,Dillon Brooks
