rank,player,age,pos,svc,score,trailing,model_$M,market_$M,final_$M
1,Nikola Jokić,31.0,Center,11,48.4,49.2,57.8,,57.8
2,Luka Dončić,27.0,Guard,8,43.9,43.1,49.5,49.5,49.5
3,Shai Gilgeous-Alexander,27.0,Guard,8,43.3,44.3,57.8,57.7,57.8
4,Victor Wembanyama,22.0,Center,3,38.0,35.4,49.5,37.1,49.5
5,Cade Cunningham,24.0,Guard,5,37.6,35.4,49.5,49.5,49.5
6,Tyrese Maxey,25.0,Guard,6,36.8,33.2,49.5,49.5,49.5
7,Jalen Johnson,24.0,Forward,5,35.3,25.7,49.5,49.5,49.5
8,Donovan Mitchell,29.0,Guard,9,35.2,33.4,57.8,57.7,57.8
9,Jaylen Brown,29.0,Forward,10,34.2,30.6,57.8,49.5,57.8
10,Kawhi Leonard,34.0,Forward,14,34.0,32.5,53.5,57.7,53.5
11,Kevin Durant,37.0,Forward,18,33.9,33.6,44.5,57.7,44.5
12,Jamal Murray,29.0,Guard,9,32.9,30.1,57.8,49.5,57.8
13,James Harden,36.0,Guard,17,32.5,33.0,47.1,49.5,47.1
14,Scottie Barnes,24.0,Forward,5,31.8,30.3,41.2,49.5,41.2
15,Jalen Brunson,29.0,Guard,8,31.6,32.6,57.8,49.5,57.8
16,Deni Avdija,25.0,Forward,6,31.4,26.8,34.7,49.5,40.5
17,Devin Booker,29.0,Guard,11,31.0,32.0,52.8,49.5,52.8
18,Anthony Edwards,24.0,Guard,6,30.6,32.1,49.5,41.3,49.5
19,LeBron James,41.0,Forward,23,30.2,33.9,39.8,49.5,39.8
20,Amen Thompson,23.0,Guard,3,29.9,25.3,15.2,41.3,32.1
21,Bam Adebayo,28.0,Center,9,29.8,30.2,45.5,36.2,45.5
22,Alperen Sengun,23.0,Center,5,29.6,29.2,41.2,37.1,41.2
23,Paolo Banchero,23.0,Forward,4,29.5,29.0,41.2,41.3,41.2
24,Austin Reaves,28.0,Guard,5,28.9,27.6,41.2,49.5,41.2
25,Chet Holmgren,24.0,Forward,3,28.6,28.1,49.5,41.3,49.5
26,Karl-Anthony Towns,30.0,Center,11,28.6,29.6,52.8,30.3,41.6
27,Giannis Antetokounmpo,31.0,Forward,13,28.5,43.9,57.8,49.5,57.8
28,Derrick White,31.0,Guard,9,28.4,27.3,35.6,49.5,40.8
29,Jalen Duren,22.0,Center,4,28.2,25.2,49.5,36.2,49.5
30,Desmond Bane,27.0,Guard,6,27.2,26.4,32.4,34.7,32.4
31,Evan Mobley,24.0,Forward,5,26.9,27.2,41.2,41.3,41.2
32,Cooper Flagg,19.0,Forward,1,26.8,26.8,20.7,41.3,32.3
33,De'Aaron Fox,28.0,Guard,9,26.5,29.7,48.8,34.7,43.4
34,Stephon Castle,21.0,Guard,2,26.5,21.8,16.0,34.4,27.0
35,Trey Murphy III,25.0,Forward,5,26.3,23.6,36.7,49.5,41.3
36,Lauri Markkanen,29.0,Forward,9,26.2,23.1,37.9,57.7,46.4
37,Pascal Siakam,32.0,Forward,10,26.1,27.5,31.3,49.5,39.5
38,Nickeil Alexander-Walker,27.0,Guard,7,26.1,19.0,29.4,32.8,29.4
39,Julius Randle,31.0,Forward,12,26.0,25.0,34.4,33.5,34.4
40,Stephen Curry,38.0,Guard,17,25.8,28.8,46.1,39.9,46.1
41,LaMelo Ball,24.0,Guard,6,25.8,26.5,41.2,32.8,41.2
42,Keyonte George,22.0,Guard,3,25.5,20.3,3.1,34.4,23.5
43,Joel Embiid,32.0,Center,10,25.4,41.4,41.6,30.3,37.5
44,Josh Giddey,23.0,Guard,5,25.2,23.6,36.8,32.8,36.8
45,Dyson Daniels,23.0,Guard,4,25.1,22.3,29.6,32.8,29.6
46,Brandon Ingram,28.0,Forward,10,25.0,25.5,30.5,49.5,39.3
47,Kon Knueppel,20.0,Forward,1,24.7,24.7,16.1,41.3,32.4
48,Immanuel Quickley,26.0,Guard,6,24.7,22.3,29.0,39.9,33.0
49,OG Anunoby,28.0,Forward,9,24.4,22.9,31.7,32.0,31.7
50,Onyeka Okongwu,25.0,Center,6,24.2,21.4,27.2,25.4,27.2
51,Ryan Rollins,23.0,Guard,3,24.0,17.7,3.7,35.8,24.6
52,Jimmy Butler III,36.0,Forward,15,24.0,29.1,41.5,33.5,41.5
53,Rudy Gobert,33.0,Center,13,23.8,25.3,23.4,27.0,23.4
54,Payton Pritchard,28.0,Guard,6,23.5,20.6,29.8,33.9,29.8
55,Kevin Porter Jr.,26.0,Guard,6,22.9,16.5,20.7,38.1,29.9
56,Michael Porter Jr.,27.0,Forward,7,22.9,21.8,32.1,31.9,32.1
57,Donovan Clingan,22.0,Center,2,22.9,18.8,4.2,25.4,18.0
58,Zion Williamson,25.0,Forward,6,22.9,26.7,39.8,31.9,39.8
59,Brandon Miller,23.0,Forward,3,22.8,20.2,20.6,41.3,32.3
60,Mikal Bridges,29.0,Forward,8,22.8,22.4,33.0,31.9,33.0
61,Andrew Nembhard,26.0,Guard,4,22.1,18.3,21.9,33.9,27.2
62,Jrue Holiday,35.0,Guard,17,22.1,20.5,18.8,11.7,15.5
63,Norman Powell,33.0,Guard,11,22.0,20.7,18.7,18.3,18.7
64,VJ Edgecombe,20.0,Guard,1,21.8,21.8,14.3,35.8,28.3
65,DeMar DeRozan,36.0,Forward,17,21.8,25.5,15.3,29.8,23.3
66,Miles Bridges,28.0,Forward,7,21.7,22.5,28.9,33.5,28.9
67,Jarrett Allen,28.0,Center,9,21.6,24.4,25.6,27.0,25.6
68,Collin Gillespie,26.0,Guard,1,21.6,21.6,14.6,33.9,26.6
69,Josh Hart,31.0,Forward,9,21.4,22.2,26.6,29.8,26.6
70,RJ Barrett,25.0,Forward,7,21.3,22.5,36.7,32.0,36.7
71,Neemias Queta,26.0,Center,2,21.3,16.4,18.8,32.3,25.5
72,Jabari Smith Jr.,23.0,Forward,4,21.0,18.5,27.6,32.0,27.6
73,Tre Jones,26.0,Guard,6,20.9,17.2,17.3,33.9,26.5
74,Brandin Podziemski,23.0,Guard,3,20.9,18.5,2.8,34.4,23.4
75,Andrew Wiggins,31.0,Forward,12,20.9,19.4,19.3,29.8,23.9
76,Jaren Jackson Jr.,26.0,Center,8,20.8,23.5,26.2,23.7,26.2
77,Jalen Suggs,24.0,Guard,5,20.7,18.1,22.7,34.4,27.7
78,CJ McCollum,34.0,Guard,13,20.5,20.9,15.2,12.3,15.2
79,Franz Wagner,24.0,Forward,5,20.3,28.2,33.4,31.9,33.4
80,Nikola Vučević,35.0,Center,15,19.7,22.2,10.4,11.6,10.4
81,Darius Garland,26.0,Guard,7,19.7,22.4,22.7,20.4,22.7
82,Jayson Tatum,28.0,Forward,9,19.7,38.1,57.8,31.2,57.8
83,Russell Westbrook,37.0,Forward,18,19.6,17.6,5.4,21.3,15.7
84,Jaden McDaniels,25.0,Forward,6,19.6,17.9,22.7,31.0,25.8
85,Matas Buzelis,21.0,Forward,2,19.3,15.3,7.4,31.2,22.8
86,Jaime Jaquez Jr.,25.0,Forward,3,19.2,15.3,11.9,31.2,24.4
